incident_id,incident_title,incident_description,support_team
INC-0077,"Suspicious login attempts from blocked geography","Security monitoring detected repeated failed login attempts against member portal from a blocked geography. Attempts target many user names within a short window.","Security"
INC-0078,"Possible exposed API key in application logs","Production logs appear to contain an API key value after debug logging was enabled. Need security review and credential rotation guidance immediately.","Security"
INC-0079,"WAF blocking legitimate provider traffic","Web application firewall started blocking provider portal requests with SQL injection rule. Providers are using normal search fields. Need security policy review.","Security"
INC-0080,"Critical vulnerability reported for deployed library","Security scanner flagged critical vulnerability in a library used by the claims API container. Need confirm exposure and remediation timeline.","Security"
INC-0081,"Unexpected admin permission granted","Audit report shows a user received admin permission without approved access ticket. Need investigate entitlement change and potential policy violation.","Security"
INC-0082,"Phishing link reported in support message","Customer support received a message containing a suspicious link pretending to be the member portal. Need security team to review and advise response.","Security"
INC-0083,"Executive dashboard numbers do not match source","Executive dashboard shows 1.2M active members, but membership operations report 1.25M in source system. Refresh completed successfully. Need report logic review.","Reporting & Analytics"
INC-0084,"Claims aging report missing current week","Claims aging report does not include claims received this week. Underlying claim table has records. Report filter may be using wrong service date.","Reporting & Analytics"
INC-0085,"Provider perf dashboard blank","Provider performance dashboard opens but all visuals are blank. Dataset refresh succeeded according to BI tool. Other dashboards in same workspace work.","Reporting & Analytics"
INC-0086,"Finance extract totals differ from billing report","Monthly finance extract total differs from billing operations report by $84k. Billing ledger agrees with operations report. Need analytics calculation review.","Reporting & Analytics"
INC-0087,"Scheduled report email not sent","Daily enrollment summary report did not email to distribution list. Report can be run manually. Subscription history says delivery failed with unknown error.","Reporting & Analytics"
INC-0088,"Metric definition changed without notice","Call center dashboard average handle time changed after semantic model update. Business says formula should exclude after-call work but report now includes it.","Reporting & Analytics"
INC-0089,"Nightly claims batch abended at pricing step","Nightly claims batch stopped at pricing step with return code 12. No downstream claim extracts were created. Operations needs restart instructions before morning cutoff.","Batch Processing"
INC-0090,"Enrollment batch completed with warning count spike","Enrollment batch completed but warning count jumped from usual 200 to 9,800. Many warnings mention invalid coverage segment. Need batch review before downstream sync.","Batch Processing"
INC-0091,"Payment posting batch did not start","Scheduled payment posting batch did not start at 01:00. Scheduler shows missed trigger, no failure record. Finance needs payments posted before bank reconciliation.","Batch Processing"
INC-0092,"Provider directory rebuild running long","Provider directory nightly rebuild has been running for six hours and is blocking search index publication. Prior runs finished in 70 minutes.","Batch Processing"
INC-0093,"Monthly premium calculation batch used old rate table","Monthly premium calc completed but appears to use previous rate table. Rate table deployment occurred yesterday afternoon. Need batch parameter validation.","Batch Processing"
INC-0094,"Claims extract generated empty file","Daily claims extract job produced a zero-byte file even though claims finalized yesterday. Job log says success. Downstream vendor rejected the empty file.","Batch Processing"
INC-0095,"Deploy pipeline stuck waiting for approval","Prod deployment pipeline is stuck in waiting for approval even though CAB approval was completed. Release mgr cannot promote the hotfix.","DevOps"
INC-0096,"Rollback failed for provider service","Attempted rollback of provider service failed because previous artifact cannot be pulled from registry. Current release is causing provider portal errors.","DevOps"
INC-0097,"Config map not updated after release","New API timeout config was merged and deployed, but pods still show the old timeout value. Pipeline logs say config applied successfully.","DevOps"
INC-0098,"Build artifact checksum mismatch","CI pipeline failed because generated artifact checksum does not match metadata. No code changes in dependency module. Need DevOps review before release window.","DevOps"
INC-0099,"Production secret rotation did not reach pods","Secret rotation completed in vault, but running pods still use prior database password. Restart job did not trigger. App will fail when old password is disabled.","DevOps"
INC-0100,"Blue green deployment routing all traffic to old version","Blue green switch completed, but monitoring shows all traffic still hitting old version. New version is healthy but not receiving requests.","DevOps"
